day_of_week, month, breakfast_booked, lunch_booked, dinner_booked, menu_type, total_booked, waste_pct, waste_kg, money_wasted_inr, actual_attendance
          4,     3,              155,          296,           241,         1,          692,      3.0 ,    11.16,           893.16,               649
          5,     3,              102,          212,           196,         0,          510,     12.85,    35.44,          2835.43,               497
          6,     3,              128,          197,           173,         0,          498,     14.92,    39.48,          3158.42,               462
          0,     3,              148,          344,           301,         0,          793,      3.0 ,    12.93,          1034.76,               745
          1,     3,              142,          335,           277,         0,          754,      4.68,    19.2 ,          1535.68,               698
          2,     3,              144,          296,           280,         1,          720,      3.0 ,    11.68,           934.08,               636
          3,     3,              161,          320,           260,         1,          741,      3.0 ,    11.98,           958.56,               658
          4,     3,              169,          318,           292,         1,          779,      3.0 ,    12.57,          1005.6 ,               730
          5,     3,               90,          234,           195,         0,          519,     10.62,    30.11,          2409.03,               508
          6,     3,              137,          211,           211,         0,          559,     13.67,    40.66,          3252.68,               514
          0,     3,              198,          343,           275,         0,          816,      3.54,    15.43,          1234.5 ,               725
          1,     3,              177,          335,           262,         0,          774,      3.94,    16.38,          1310.53,               724
          2,     3,              183,          272,           258,         1,          713,      3.0 ,    11.35,           907.92,               690
          3,     3,              163,          322,           307,         1,          792,      3.0 ,    12.82,          1025.4 ,               729
          4,     3,              192,          280,           249,         1,          721,      3.0 ,    11.45,           916.2 ,               648
          5,     3,              119,          208,           152,         0,          479,     11.74,    30.06,          2405.11,               459
          6,     3,               94,          222,           196,         1,          512,      5.57,    15.51,          1241.02,               490
          0,     3,              160,          286,           278,         0,          724,      4.9 ,    19.05,          1524.2 ,               699
          1,     3,              153,          318,           270,         0,          741,      3.25,    13.02,          1041.52,               700
          2,     3,              166,          287,           270,         1,          723,      3.0 ,    11.61,           929.04,               680
          3,     3,              197,          308,           267,         1,          772,      3.0 ,    12.31,           985.08,               689
          4,     3,              166,          303,           291,         1,          760,      3.0 ,    12.25,           979.8 ,               670
          5,     3,              106,          197,           185,         0,          488,      9.84,    25.81,          2064.9 ,               458
          6,     3,               91,          236,           219,         0,          546,     13.61,    40.62,          3249.71,               502
          0,     3,              176,          314,           335,         0,          825,      3.52,    15.6 ,          1247.86,               774
          1,     4,              166,          288,           251,         0,          705,      4.59,    17.31,          1384.59,               656
          2,     4,              156,          279,           268,         1,          703,      3.0 ,    11.32,           905.28,               680
          3,     4,              193,          325,           279,         1,          797,      3.0 ,    12.77,          1021.56,               744
          4,     4,              169,          290,           307,         0,          766,      3.94,    16.18,          1294.11,               680
          5,     4,               98,          205,           174,         0,          477,     10.74,    27.7 ,          2215.62,               461
          6,     4,              127,          247,           164,         0,          538,     14.38,    41.59,          3327.04,               473
          0,     4,              158,          298,           269,         0,          725,      3.43,    13.39,          1071.21,               686
          1,     4,              168,          291,           284,         0,          743,      3.81,    15.18,          1214.64,               716
          2,     4,              164,          289,           269,         0,          722,      4.77,    18.47,          1477.94,               688
          3,     4,              175,          288,           281,         1,          744,      3.0 ,    11.92,           953.64,               660
          4,     4,              142,          318,           268,         0,          728,      4.54,    17.92,          1433.53,               689
          5,     4,              102,          172,           160,         1,          434,      4.53,    10.51,           840.48,               393
          6,     4,              117,          190,           201,         1,          508,      5.05,    13.71,          1096.42,               462
          0,     4,              167,          283,           268,         0,          718,      4.27,    16.39,          1311.1 ,               663
          1,     4,              155,          300,           298,         0,          753,      3.24,    13.17,          1053.22,               685
          2,     4,              180,          285,           289,         1,          754,      3.0 ,    12.06,           964.68,               724
          3,     4,              130,          292,           290,         1,          712,      3.0 ,    11.6 ,           928.08,               663
          4,     4,              173,          295,           281,         1,          749,      3.0 ,    12.02,           961.8 ,               708
          5,     4,              131,          214,           196,         1,          541,      3.0 ,     8.66,           692.64,               505
          6,     4,              106,          200,           197,         1,          503,      6.12,    16.57,          1325.2 ,               477
          0,     4,              172,          349,           295,         1,          816,      3.0 ,    13.21,          1057.08,               766
          1,     4,              186,          299,           243,         0,          728,      3.27,    12.68,          1014.66,               659
          2,     4,              139,          300,           280,         1,          719,      3.0 ,    11.69,           935.04,               634
          3,     4,              172,          303,           294,         0,          769,      3.0 ,    12.37,           989.52,               716
          4,     4,              171,          323,           253,         1,          747,      3.0 ,    12.04,           963.24,               677
          5,     4,              119,          200,           201,         1,          520,      5.02,    13.95,          1116.28,               473
          6,     4,              116,          213,           181,         1,          510,      5.67,    15.52,          1241.76,               475
          0,     4,              180,          290,           281,         1,          751,      3.0 ,    12.02,           961.32,               721
          1,     4,              175,          314,           298,         1,          787,      3.0 ,    12.67,          1013.52,               765
          2,     4,              163,          288,           272,         1,          723,      3.0 ,    11.63,           930.24,               686
          3,     5,              179,          289,           295,         0,          763,      4.64,    18.89,          1511.55,               734
          4,     5,              174,          345,           266,         1,          785,      3.0 ,    12.69,          1014.96,               734
          5,     5,               87,          238,           201,         1,          526,      3.07,     8.83,           706.67,               505
          6,     5,              118,          186,           234,         0,          538,     14.03,    40.35,          3227.68,               512
          0,     5,              169,          322,           288,         1,          779,      3.0 ,    12.58,          1006.08,               692
          1,     5,              156,          317,           313,         1,          786,      3.0 ,    12.74,          1019.4 ,               701
          2,     5,              191,          297,           262,         0,          750,      3.65,    14.55,          1164.0 ,               669
          3,     5,              168,          329,           249,         0,          746,      5.03,    20.21,          1617.01,               684
          4,     5,              165,          299,           261,         0,          725,      3.0 ,    11.67,           933.48,               705
          5,     5,              126,          210,           166,         0,          502,     10.43,    27.93,          2234.53,               456
          6,     5,              108,          242,           185,         1,          535,      4.77,    13.85,          1107.79,               495
          0,     5,              164,          302,           231,         1,          697,      3.0 ,    11.22,           897.24,               646
          1,     5,              164,          321,           313,         0,          798,      3.93,    16.92,          1353.45,               708
          2,     5,              163,          285,           326,         1,          774,      3.0 ,    12.46,           997.2 ,               681
          3,     5,              168,          307,           283,         0,          758,      3.51,    14.31,          1144.47,               685
          4,     5,              159,          297,           279,         1,          735,      3.0 ,    11.86,           948.6 ,               679
          5,     5,              103,          211,           185,         1,          499,      4.72,    12.72,          1017.43,               470
          6,     5,               74,          230,           212,         1,          516,      4.6 ,    13.08,          1046.15,               502
          0,     5,              162,          300,           254,         1,          716,      3.0 ,    11.54,           922.8 ,               682
          1,     5,              151,          343,           296,         0,          790,      4.17,    17.88,          1430.2 ,               716
          2,     5,              178,          285,           270,         1,          733,      3.0 ,    11.72,           937.68,               685
          3,     5,              149,          322,           275,         0,          746,      3.51,    14.18,          1134.62,               730
          4,     5,              178,          316,           273,         0,          767,      4.42,    18.17,          1453.93,               696
          5,     5,               97,          221,           200,         1,          518,      3.0 ,     8.44,           675.36,               463
          6,     5,              118,          183,           206,         1,          507,      6.25,    16.89,          1350.87,               466
          0,     5,              160,          328,           267,         0,          755,      3.0 ,    12.23,           978.36,               724
          1,     5,              144,          320,           256,         1,          720,      3.0 ,    11.71,           936.96,               656
          2,     5,              136,          341,           283,         0,          760,      3.52,    14.61,          1168.53,               718
          3,     5,              159,          315,           279,         1,          753,      3.0 ,    12.18,           974.52,               682
          4,     5,              169,          311,           273,         1,          753,      3.0 ,    12.13,           970.44,               669
          5,     6,              118,          174,           165,         0,          457,     12.74,    30.87,          2469.96,               431
          6,     6,              116,          205,           190,         1,          511,      6.61,    18.11,          1449.05,               477
          0,     6,              159,          292,           283,         1,          734,      3.0 ,    11.83,           946.68,               686
          1,     6,              174,          273,           298,         1,          745,      3.0 ,    11.92,           953.52,               667
          2,     6,              171,          327,           309,         1,          807,      3.0 ,    13.04,          1042.92,               742
          3,     6,              140,          282,           268,         1,          690,      3.0 ,    11.18,           894.24,               657
          4,     6,              175,          293,           283,         1,          751,      3.0 ,    12.04,           963.48,               684
          5,     6,              104,          180,           173,         0,          457,     11.06,    27.08,          2166.26,               433
          6,     6,               99,          230,           172,         0,          501,     16.59,    45.16,          3612.84,               479
          0,     6,              175,          311,           264,         1,          750,      3.0 ,    12.05,           964.32,               712
          1,     6,              159,          310,           326,         0,          795,      3.0 ,    12.87,          1029.36,               775
          2,     6,              185,          293,           279,         1,          757,      3.0 ,    12.1 ,           967.8 ,               718
          3,     6,              158,          344,           292,         0,          794,      3.0 ,    12.91,          1032.48,               745
          4,     6,              177,          327,           291,         1,          795,      3.0 ,    12.81,          1024.92,               758
          5,     6,              103,          204,           188,         0,          495,     12.07,    32.23,          2578.48,               446
          6,     6,              116,          182,           196,         1,          494,      7.08,    18.64,          1491.57,               476
          0,     6,              176,          329,           295,         0,          800,      3.37,    14.48,          1158.5 ,               766
          1,     6,              166,          274,           287,         1,          727,      3.0 ,    11.66,           932.76,               682
          2,     6,              172,          282,           260,         0,          714,      5.13,    19.55,          1564.39,               651
          3,     6,              167,          321,           280,         0,          768,      3.5 ,    14.48,          1158.78,               689
          4,     6,              182,          297,           281,         0,          760,      3.23,    13.1 ,          1048.0 ,               731
          5,     6,              107,          202,           193,         0,          502,     11.09,    29.95,          2396.12,               479
          6,     6,              132,          191,           186,         0,          509,     14.01,    37.79,          3023.49,               452
          0,     6,              189,          311,           298,         0,          798,      3.0 ,    12.78,          1022.64,               741
          1,     6,              172,          325,           281,         1,          778,      3.0 ,    12.55,          1004.04,               688
          2,     6,              160,          336,           321,         0,          817,      3.0 ,    13.26,          1061.16,               794
          3,     6,              161,          337,           308,         1,          806,      3.0 ,    13.08,          1046.4 ,               735
          4,     6,              161,          302,           255,         0,          718,      3.5 ,    13.49,          1078.86,               682
          5,     6,               98,          193,           189,         1,          480,      3.99,    10.33,           826.02,               429
          6,     6,              137,          189,           207,         1,          533,      5.83,    16.45,          1316.34,               481
          0,     7,              167,          321,           259,         0,          747,      4.1 ,    16.48,          1318.37,               689
          1,     7,              170,          317,           285,         1,          772,      3.0 ,    12.45,           995.88,               686
          2,     7,              158,          297,           268,         1,          723,      3.0 ,    11.66,           933.12,               674
          3,     7,              158,          331,           305,         1,          794,      3.0 ,    12.89,          1030.92,               764
          4,     7,              155,          317,           270,         0,          742,      4.38,    17.54,          1402.88,               670
          5,     7,              117,          178,           217,         1,          512,      4.76,    12.98,          1038.67,               468
          6,     7,              104,          201,           195,         1,          500,      6.77,    18.24,          1458.82,               470
          0,     7,              177,          348,           276,         0,          801,      3.0 ,    12.94,          1035.36,               711
          1,     7,              147,          293,           279,         1,          719,      3.0 ,    11.64,           931.32,               650
          2,     7,              160,          312,           279,         1,          751,      3.0 ,    12.14,           971.16,               682
          3,     7,              205,          297,           271,         1,          773,      3.0 ,    12.28,           982.2 ,               733
          4,     7,              178,          344,           290,         0,          812,      3.0 ,    13.11,          1049.04,               717
          5,     7,              122,          231,           204,         0,          557,     11.05,    33.11,          2648.66,               497
          6,     7,              130,          232,           214,         0,          576,     13.88,    42.87,          3429.77,               512
          0,     7,              165,          310,           301,         0,          776,      3.0 ,    12.53,          1002.12,               709
          1,     7,              173,          300,           280,         1,          753,      3.0 ,    12.1 ,           967.68,               725
          2,     7,              170,          308,           255,         1,          733,      3.0 ,    11.79,           943.32,               716
          3,     7,              177,          351,           274,         1,          802,      3.0 ,    12.96,          1037.04,               719
          4,     7,              171,          339,           278,         1,          788,      3.0 ,    12.74,          1019.28,               766
          5,     7,              123,          212,           181,         0,          516,     11.42,    31.5 ,          2520.04,               464
          6,     7,              130,          188,           192,         0,          510,     13.79,    37.29,          2983.03,               470
          0,     7,              185,          277,           269,         0,          731,      4.34,    16.83,          1346.65,               660
          1,     7,              191,          306,           270,         1,          767,      3.0 ,    12.25,           980.4 ,               738
          2,     7,              146,          264,           287,         0,          697,      4.14,    15.52,          1241.85,               614
          3,     7,              152,          322,           284,         1,          758,      3.0 ,    12.31,           984.48,               718
          4,     7,              148,          325,           291,         0,          764,      3.46,    14.34,          1146.86,               723
          5,     7,              141,          187,           162,         0,          490,     11.1 ,    28.6 ,          2287.65,               452
          6,     7,              113,          213,           185,         1,          511,      6.62,    18.18,          1454.34,               449
          0,     7,              149,          336,           278,         0,          763,      4.45,    18.42,          1473.81,               707
          1,     7,              173,          317,           290,         1,          780,      3.0 ,    12.57,          1005.36,               750
          2,     8,              177,          334,           283,         0,          794,      3.66,    15.61,          1248.86,               707
          3,     8,              166,          336,           267,         0,          769,      4.91,    20.35,          1628.12,               686
          4,     8,              167,          279,           282,         0,          728,      3.54,    13.76,          1100.99,               650
          5,     8,              126,          195,           181,         1,          502,      3.0 ,     8.01,           640.68,               459
          6,     8,              107,          160,           161,         0,          428,     16.19,    36.8 ,          2944.33,               395
          0,     8,              179,          316,           262,         1,          757,      3.0 ,    12.16,           972.72,               709
          1,     8,              167,          284,           307,         0,          758,      4.33,    17.59,          1407.17,               716
          2,     8,              164,          308,           283,         1,          755,      3.0 ,    12.18,           974.52,               713
          3,     8,              164,          294,           261,         1,          719,      3.0 ,    11.57,           925.32,               694
          4,     8,              194,          320,           269,         0,          783,      3.71,    15.5 ,          1240.31,               737
          5,     8,              134,          227,           191,         1,          552,      3.0 ,     8.85,           707.64,               489
          6,     8,              124,          216,           206,         0,          546,     14.32,    41.88,          3350.44,               517
          0,     8,              183,          297,           303,         1,          783,      3.0 ,    12.54,          1003.32,               739
          1,     8,              199,          294,           311,         0,          804,      3.1 ,    13.23,          1058.51,               723
          2,     8,              158,          298,           274,         1,          730,      3.0 ,    11.78,           942.48,               704
          3,     8,              175,          296,           279,         1,          750,      3.0 ,    12.03,           962.52,               707
          4,     8,              193,          316,           280,         0,          789,      3.26,    13.72,          1097.79,               742
          5,     8,              123,          188,           185,         1,          496,      3.0 ,     7.91,           633.0 ,               466
          6,     8,              119,          221,           181,         0,          521,     15.44,    43.21,          3456.41,               467
          0,     8,              149,          278,           284,         0,          711,      5.17,    19.79,          1583.25,               671
          1,     8,              193,          298,           299,         1,          790,      3.0 ,    12.61,          1009.08,               708
          2,     8,              165,          325,           291,         0,          781,      3.0 ,    12.63,          1010.52,               747
          3,     8,              190,          335,           268,         0,          793,      3.42,    14.52,          1161.72,               762
          4,     8,              175,          313,           270,         0,          758,      3.09,    12.57,          1005.25,               683
          5,     8,              113,          232,           199,         0,          544,     10.54,    30.98,          2478.57,               493
          6,     8,              125,          152,           210,         1,          487,      5.3 ,    13.61,          1089.07,               476
          0,     8,              162,          285,           256,         1,          703,      3.0 ,    11.3 ,           903.84,               666
          1,     8,              160,          314,           279,         0,          753,      4.09,    16.59,          1326.85,               680
          2,     8,              169,          282,           297,         1,          748,      3.0 ,    12.0 ,           960.36,               722
          3,     8,              144,          299,           307,         0,          750,      4.43,    17.98,          1438.39,               693
          4,     9,              162,          301,           274,         0,          737,      5.61,    22.21,          1776.56,               718
          5,     9,              119,          217,           208,         1,          544,      3.03,     8.86,           708.53,               491
          6,     9,              110,          205,           188,         0,          503,     14.43,    39.01,          3120.46,               462
          0,     9,              178,          309,           293,         1,          780,      3.0 ,    12.53,          1002.6 ,               686
          1,     9,              169,          268,           296,         1,          733,      3.0 ,    11.74,           938.88,               692
          2,     9,              182,          250,           317,         1,          749,      3.0 ,    11.91,           953.16,               702
          3,     9,              184,          287,           291,         1,          762,      3.0 ,    12.18,           974.04,               680
          4,     9,              158,          346,           276,         1,          780,      3.0 ,    12.68,          1014.24,               689
          5,     9,              127,          218,           192,         0,          537,     11.24,    32.27,          2581.81,               492
          6,     9,              150,          207,           193,         0,          550,     14.59,    42.36,          3389.09,               491
          0,     9,              184,          331,           291,         0,          806,      3.0 ,    12.97,          1037.4 ,               770
          1,     9,              192,          285,           285,         0,          762,      3.0 ,    12.14,           970.92,               738
          2,     9,              167,          314,           285,         0,          766,      3.85,    15.85,          1267.99,               722
          3,     9,              192,          317,           275,         1,          784,      3.0 ,    12.55,          1003.8 ,               690
          4,     9,              185,          283,           290,         1,          758,      3.0 ,    12.1 ,           967.92,               737
          5,     9,              109,          236,           187,         0,          532,     11.12,    32.03,          2562.6 ,               482
          6,     9,              111,          209,           170,         1,          490,      5.5 ,    14.48,          1158.09,               458
          0,     9,              191,          291,           262,         1,          744,      3.0 ,    11.85,           948.24,               692
          1,     9,              158,          281,           309,         1,          748,      3.0 ,    12.05,           964.2 ,               699
          2,     9,              157,          353,           297,         1,          807,      3.0 ,    13.14,          1051.08,               762
          3,     9,              130,          353,           254,         1,          737,      3.0 ,    12.11,           968.4 ,               688
          4,     9,              183,          356,           304,         0,          843,      3.0 ,    13.62,          1089.6 ,               815
          5,     9,              122,          226,           203,         0,          551,     10.96,    32.45,          2595.76,               517
          6,     9,              115,          207,           176,         1,          498,      6.31,    16.84,          1346.85,               468
          0,     9,              142,          306,           262,         1,          710,      3.0 ,    11.54,           922.8 ,               626
          1,     9,              170,          335,           296,         0,          801,      3.0 ,    12.95,          1036.32,               760
          2,     9,              153,          326,           262,         0,          741,      3.71,    14.85,          1188.36,               720
          3,     9,              176,          288,           281,         1,          745,      3.0 ,    11.93,           954.6 ,               708
          4,     9,              158,          314,           251,         1,          723,      3.0 ,    11.69,           935.16,               646
          5,     9,              113,          220,           194,         1,          527,      4.19,    11.88,           950.8 ,               508
          6,    10,              115,          200,           192,         0,          507,     14.83,    40.28,          3222.18,               491
          0,    10,              168,          308,           267,         0,          743,      3.32,    13.26,          1060.84,               673
          1,    10,              146,          342,           257,         0,          745,      3.27,    13.24,          1059.57,               680
          2,    10,              157,          325,           274,         1,          756,      3.0 ,    12.25,           980.4 ,               669
          3,    10,              157,          313,           264,         0,          734,      5.71,    22.58,          1806.79,               718
          4,    10,              150,          314,           291,         0,          755,      4.01,    16.36,          1309.01,               717
          5,    10,              111,          206,           190,         0,          507,     11.28,    30.73,          2458.47,               448
          6,    10,              128,          253,           179,         1,          560,      4.5 ,    13.58,          1086.22,               528
          0,    10,              166,          359,           265,         0,          790,      4.46,    19.07,          1525.94,               755
          1,    10,              193,          296,           290,         0,          779,      4.62,    19.13,          1530.5 ,               725
          2,    10,              162,          303,           269,         0,          734,      3.18,    12.54,          1003.17,               664
          3,    10,              158,          283,           280,         0,          721,      3.57,    13.81,          1104.97,               689
          4,    10,              171,          276,           285,         1,          732,      3.0 ,    11.72,           937.8 ,               659
          5,    10,               84,          216,           212,         0,          512,     10.35,    28.97,          2317.26,               454
          6,    10,              139,          217,           177,         1,          533,      5.96,    16.88,          1350.15,               497
          0,    10,              176,          309,           289,         0,          774,      3.0 ,    12.44,           995.4 ,               724
          1,    10,              170,          279,           277,         0,          726,      3.39,    13.13,          1050.61,               670
          2,    10,              156,          332,           299,         0,          787,      3.68,    15.69,          1255.08,               748
          3,    10,              151,          301,           301,         1,          753,      3.0 ,    12.2 ,           975.72,               708
          4,    10,              202,          315,           283,         0,          800,      3.0 ,    12.76,          1021.08,               733
          5,    10,              116,          205,           202,         0,          523,     11.92,    33.44,          2674.93,               490
          6,    10,              102,          182,           156,         0,          440,     15.81,    37.27,          2981.72,               431
          0,    10,              151,          264,           286,         1,          701,      3.0 ,    11.28,           902.64,               626
          1,    10,              167,          324,           281,         1,          772,      3.0 ,    12.47,           997.8 ,               732
          2,    10,              181,          302,           284,         0,          767,      3.75,    15.38,          1230.17,               678
          3,    10,              157,          327,           276,         0,          760,      3.0 ,    12.32,           985.92,               731
          4,    10,              176,          290,           280,         1,          746,      3.0 ,    11.95,           956.16,               676
          5,    10,              130,          218,           189,         0,          537,     11.6 ,    33.26,          2660.86,               506
          6,    10,              134,          220,           190,         0,          544,     12.79,    37.11,          2968.43,               484
          0,    10,              152,          301,           269,         1,          722,      3.0 ,    11.68,           934.44,               661
          1,    11,              168,          318,           278,         1,          764,      3.0 ,    12.33,           986.16,               707
          2,    11,              168,          268,           263,         1,          699,      3.0 ,    11.18,           894.36,               618
          3,    11,              149,          319,           307,         0,          775,      6.35,    26.66,          2132.84,               730
          4,    11,              164,          337,           282,         1,          783,      3.0 ,    12.69,          1014.96,               723
          5,    11,              104,          202,           183,         0,          489,     13.8 ,    36.36,          2908.77,               449
          6,    11,              116,          209,           197,         1,          522,      9.12,    25.56,          2044.54,               494
